H;88;;;00016757;20120325;20120317;20120323;
D;00000680;高露洁适齿多效牙刷软毛;605;
S;028;4;20.17;22.46;
S;054;4;20.17;22.46;
S;074;3;15.13;22.47;
D;00000745;高露洁适齿多效牙刷3支装中毛;605;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;00004231;高露洁适齿多效牙刷中毛;605;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;00005056;高露洁清新防蛀牙膏140g支;604;
S;028;6;55.9;21.65;
S;054;2;18.63;21.85;
S;074;1;9.32;28.86;
D;00005058;高露洁牙膏冰凉薄荷140g;604;
S;028;3;27.95;21.65;
S;054;0;0;;
S;074;0;0;;
D;00026962;高露洁超强牙膏90g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;00030909;高露洁超洁护龈牙刷;605;
S;028;15;57.69;15.24;
S;054;9;34.62;15.25;
S;074;1;3.85;15.32;
D;00032414;高露洁纤丝柔洁牙刷促销装;605;
S;028;9;91.54;11.22;
S;054;10;101.71;11.22;
S;074;2;20.34;11.21;
D;00032415;高露洁神奇宝贝超柔软牙刷;610;
S;028;4;16.75;23.34;
S;054;10;41.88;23.35;
S;074;0;0;;
D;00032417;高露洁按摩型牙刷;605;
S;028;0;0;;
S;054;0;0;;
S;074;1;7.86;.25;
D;00036008;高露洁三重功效波浪型牙刷;605;
S;028;8;17.09;38.68;
S;054;21;44.87;38.69;
S;074;4;8.55;40.12;
D;00074339;高露洁纤丝牙刷（软毛）;605;
S;028;3;15.13;10.58;
S;054;1;5.04;10.52;
S;074;0;0;;
D;00090051;高露洁设计师牙刷三支装（软毛）;605;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;00090086;高露洁动感型儿童电动牙刷;606;
S;028;2;68.21;25.35;
S;054;0;0;;
S;074;0;0;;
D;00124768;高露洁贝齿漱口水（清凉薄荷）500ml;607;
S;028;3;71.54;11.27;
S;054;0;0;;
S;074;1;23.85;11.28;
D;00124776;高露洁贝齿漱口水（特凉薄荷）500ml;607;
S;028;2;47.69;11.26;
S;054;0;0;;
S;074;1;23.85;11.28;
D;00137294;高露洁草本美白牙膏140g;604;
S;028;5;25.21;26.62;
S;054;7;35.3;26.63;
S;074;3;15.13;26.64;
D;00230053;高露洁超感白牙膏100g;604;
S;028;3;21.03;26.25;
S;054;4;28.03;27.79;
S;074;0;0;;
D;00230559;高露洁草本盐牙膏90g;604;
S;028;0;0;;
S;054;1;4.02;27.11;
S;074;1;4.02;26.87;
D;00254187;高露洁灵动牙刷替换刷头;606;
S;028;1;34.1;26.6;
S;054;0;0;;
S;074;0;0;;
D;00260224;高露洁三重功效波浪牙刷3支装;605;
S;028;9;49.23;30.53;
S;054;10;54.7;30.53;
S;074;7;38.29;30.53;
D;00260300;高露洁旅行套装;605;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;00317882;高露洁洁齿波浪牙刷支;605;
S;028;4;9.91;38.65;
S;054;14;34.7;38.67;
S;074;7;17.35;38.67;
D;00325941;高露洁超感白牙膏165g;604;
S;028;6;61.03;14.76;
S;054;76;772.99;14.76;
S;074;0;0;;
D;00359375;高露洁草本牙膏90g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;00388868;高露洁灵动型牙刷;605;
S;028;2;59.66;14.62;
S;054;0;0;;
S;074;0;0;;
D;00405675;高露洁牙刷洁齿波浪中毛;605;
S;028;34;215.04;31.22;
S;054;3;18.97;31.21;
S;074;6;37.95;31.23;
D;00405676;高露洁超洁护龈牙刷三支装;605;
S;028;7;68.8;36.51;
S;054;16;157.26;36.51;
S;074;0;0;;
D;00416367;高露洁适齿多效牙刷3支装软毛;605;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;00447358;高露洁全效牙膏100g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;00573792;高露洁儿童牙膏水果型40g;609;
S;028;11;83.68;27.31;
S;054;4;30.43;27.31;
S;074;1;7.61;27.33;
D;00573793;高露洁儿童牙膏草莓型40g;609;
S;028;9;68.46;27.3;
S;054;4;30.43;27.31;
S;074;0;0;;
D;00573794;高露洁三重功效牙膏90g;604;
S;028;13;35.56;22.13;
S;054;4;10.94;44.06;
S;074;9;24.62;37.49;
D;00585335;高露洁全效美白牙膏100g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;00674082;高露洁草本美白牙膏90g支;604;
